df_low,df_hgh,df_gen,df_wks
6,30,11,103
2,32,20,96
3,31,5,111
1,32,13,104
2,8,6,101
0,16,8,98
8,48,18,76
3,31,18,93
0,0,2,82
10,6,3,80
8,21,29,78
2,10,7,78
1,20,9,77
0,7,8,77
2,21,4,77
0,4,3,77
0,12,7,75
4,9,10,74
0,0,6,73
1,1,10,72
0,2,5,72
0,0,1,70
0,4,7,69
1,3,5,68
1,6,3,66
1,3,4,65
1,0,6,63
3,21,9,62
0,6,8,57
1,7,6,57
0,12,44,56
0,0,8,56
0,1,1,55
1,2,3,54
1,2,1,54
1,10,9,53
0,6,8,53
0,1,7,52
13,3,4,48
0,0,1,48
1,0,2,47
1,0,3,46
0,4,6,45
1,11,7,43
0,5,2,43
0,4,1,43
0,1,1,43
0,7,4,42
0,4,4,42
0,2,6,41
0,4,3,41
0,2,3,39
2,2,2,38
0,0,1,38
2,4,5,37
0,2,2,37
0,0,7,35
1,2,4,35
0,2,2,35
0,3,7,34
0,3,3,34
1,0,1,33
3,2,10,32
1,0,4,32
2,3,2,32
1,0,2,32
0,1,1,32
0,1,6,31
1,5,5,31
0,2,2,30
0,1,1,30
2,6,7,29
1,2,4,29
0,2,4,29
0,0,8,28
1,1,2,27
1,1,2,27
0,0,1,27
0,1,1,26
0,0,1,25
0,1,3,24
0,0,1,24
0,0,1,24
0,0,2,23
0,3,5,22
0,0,2,22
0,0,1,22
0,1,2,21
0,0,1,21
0,0,0,13
0,0,3,0
1,0,0,0
